"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Aug 22 03:21:51 GMT 2024","Thu Aug 22 03:21:53 GMT 2024","1797","Surefire suite","Surefire test","in.automationtesting.practice.EndToEndShoppingExperienceTest","in.automationtesting.practice.EndToEndShoppingExperienceTest","verifyBillingFormIsDisplayed","Verify Billing Form Visibility","Given I am in the cart, When I proceed to checkout, Then the billing form should be displayed"
"passed","Thu Aug 22 03:21:42 GMT 2024","Thu Aug 22 03:21:48 GMT 2024","5401","Surefire suite","Surefire test","in.automationtesting.practice.EndToEndShoppingExperienceTest","in.automationtesting.practice.EndToEndShoppingExperienceTest","verifyProductTitleIsVisible","Verify Product Title Visibility","Given I am on the home page, When a product is displayed, Then its title should be visible"
"passed","Thu Aug 22 03:21:51 GMT 2024","Thu Aug 22 03:21:51 GMT 2024","130","Surefire suite","Surefire test","in.automationtesting.practice.EndToEndShoppingExperienceTest","in.automationtesting.practice.EndToEndShoppingExperienceTest","verifyItemPriceIsCorrect","Verify Product Added to Cart","Given a product is displayed and added to the cart, When I view the cart, Then the product's price should be displayed correctly"
"passed","Thu Aug 22 03:21:48 GMT 2024","Thu Aug 22 03:21:51 GMT 2024","2338","Surefire suite","Surefire test","in.automationtesting.practice.EndToEndShoppingExperienceTest","in.automationtesting.practice.EndToEndShoppingExperienceTest","verifyItemIsAddedCorrectlyToCart","Verify Product Added to Cart","Given a product is displayed, When I add it to the cart, Then it should appear in the cart"
"passed","Thu Aug 22 03:21:48 GMT 2024","Thu Aug 22 03:21:48 GMT 2024","212","Surefire suite","Surefire test","in.automationtesting.practice.EndToEndShoppingExperienceTest","in.automationtesting.practice.EndToEndShoppingExperienceTest","verifyProductPriceIsDisplayedCorrectly","Verify Product Price Accuracy","Given a product is displayed, When its price is shown, Then it should match the expected price"
